FECHA DEL EVENTO;DIRECCIÓN;Tiempo de Respuesta;Tiempo total evento;M;M;M;M;M;M;M;M;M;M;total;R;R;R;R;R;R;Otro;total;Tte;Sto;Cbo;Bros;Otro;total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;ÁREA AFECTADA EN MTS 2;ÁREA EXPUESTA EN MTS 2;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Menores;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Menores;Rescatados Hombres;Rescatados Mujeres;Rescatados Menores;Heridos Hombres;Heridos Mujeres;Heridos Menores;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Menores
viernes 12 de enero de 2018;KR 97B 20C;00:05;01:06;ME15;CT08;;;;;;;;;2;;;;;;;;0;;;1;7;;8;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
viernes 12 de enero de 2018;CL 43 SUR 87H;00:07;02:16;ME22;CT06;;;;;;;;;2;;;;;;;;0;;1;;6;;7;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.1 VEHICULO  PARTICULAR;1.2.1.1 AUTOMOVIL;I. INDETERMINADA;INDETERMINADA;;;1;1;;1;1;;;;;;;;;;
sábado 13 de enero de 2018;KR 25A 36 SUR 26;00:06;00:42;ME30;CT02;;;;;;;;;2;;;;;;;;0;;;1;6;;7;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
sábado 13 de enero de 2018;AV BOYACA 88;00:08;00:49;ME03;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.1 VEHICULO  PARTICULAR;1.2.1.3 MOTOCICLETA;I. INDETERMINADA;INDETERMINADA;;;1;1;;1;1;;;;;1;1;;;;
sábado 13 de enero de 2018;KR 77 19 87;00:11;01:06;ME15;CT08;;;;;;;;;2;R6;;;;;;;1;;;2;10;;12;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.2 EDIFIACACIONES DE GRAN ALTURA ( MAYOR A 7 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
domingo 14 de enero de 2018;CL 20 18A 34;00:07;00:42;MA02;UR01;;;;;;;;;2;;;;;;;;0;;2;;9;;11;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.4 CIGARRILLO / COLILLA DE CIGARRILLO;ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
domingo 14 de enero de 2018;CL 6A 94A - 26;00:11;01:12;MA04;;;;;;;;;;1;X26;;;;;;;1;;2;;9;;11;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;;2;;;2;;;;;;;;;;
lunes 15 de enero de 2018;KR 111C 80A 20;00:12;01:07;ME28;CT09;;;;;;;;;2;;;;;;;;0;;1;;6;;7;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.11 LLAMA ABIERTA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
lunes 15 de enero de 2018;KR 10 ESTE 76 SUR 20;00:14;01:55;ME03;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.2 RESIDUOS VEGETALES;;;;;;I. INDETERMINADA;INDETERMINADA;10;300;;;;;;;;;;;;;;;
lunes 15 de enero de 2018;DG 40C SUR  72I 33;00:12;03:57;ME22;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;I. INDETERMINADA;INDETERMINADA;;;;1;;;1;;;;;;;;;;
